"year","month","glacier_712529","glacier_677013","glacier_676761","glacier_671117","glacier_733649","glacier_711481"
1985,0,NA,NA,NA,NA,NA,NA
1985,1,NA,NA,1.7793,NA,NA,NA
1985,2,5.9553,NA,1.8324,NA,NA,NA
1985,3,5.9445,1.7181,1.7982,NA,NA,0.081
1985,4,5.9346,1.6029,1.7928,0.0765,0.1773,0
1985,5,5.9679,1.7046,1.7883,NA,0.1728,0.0792
1985,6,NA,1.2294,NA,NA,0.2025,0.0909
1985,7,NA,NA,NA,NA,NA,NA
1985,8,NA,NA,NA,NA,NA,NA
1985,9,NA,NA,0,NA,NA,NA
1985,10,NA,NA,NA,NA,NA,NA
1985,11,NA,NA,NA,NA,NA,NA
1986,0,NA,NA,NA,NA,NA,NA
1986,1,NA,NA,1.7838,NA,NA,NA
1986,2,5.9112,NA,1.7757,NA,NA,NA
1986,3,5.9931,1.7604,1.8216,NA,NA,NA
1986,4,5.9697,0.0126,1.5849,0.1188,NA,0.0621
1986,5,5.6349,1.7802,1.7892,0.1044,0.2079,0.0927
1986,6,4.4154,NA,0.1872,0,0.189,NA
1986,7,NA,NA,NA,NA,0.2115,NA
1986,8,NA,NA,NA,NA,NA,NA
1986,9,NA,NA,0,NA,NA,NA
1986,10,0,NA,0,NA,NA,NA
1986,11,NA,NA,NA,NA,NA,NA
1987,0,NA,NA,NA,NA,NA,NA
1987,1,NA,NA,1.8198,NA,NA,NA
1987,2,5.9868,NA,1.8117,NA,NA,NA
1987,3,3.5649,1.7748,1.7559,NA,NA,0.0855
1987,4,5.8509,0.5859,0.387,NA,NA,9e-04
1987,5,5.8959,1.7451,0.3501,0.0261,0.1764,0.081
1987,6,5.9391,1.755,1.8135,0.0999,0.1818,0.0792
1987,7,NA,NA,NA,NA,NA,NA
1987,8,NA,NA,NA,NA,NA,NA
1987,9,NA,NA,0,NA,NA,NA
1987,10,0,NA,0,NA,NA,NA
1987,11,NA,NA,NA,NA,NA,NA
1988,0,NA,NA,NA,NA,NA,NA
1988,1,NA,NA,1.764,NA,NA,NA
1988,2,5.9058,NA,1.8207,NA,NA,NA
1988,3,5.9193,1.7217,1.8045,NA,NA,0.0864
1988,4,5.9463,1.7406,1.7298,0.1044,NA,0.0756
1988,5,5.9796,0,1.7748,0.1143,0.1737,0
1988,6,6.0012,1.7955,NA,0.1044,0.1836,0.0018
1988,7,NA,NA,NA,NA,NA,NA
1988,8,NA,NA,NA,NA,NA,NA
1988,9,NA,NA,0,NA,NA,NA
1988,10,0,NA,NA,NA,NA,NA
1988,11,NA,NA,NA,NA,NA,NA
1989,0,NA,NA,NA,NA,NA,NA
1989,1,NA,NA,1.0332,NA,NA,NA
1989,2,5.9607,NA,0.27,NA,NA,NA
1989,3,5.4369,1.6956,1.7883,NA,NA,NA
1989,4,5.9931,1.7334,1.8297,0.1035,0.2115,0.0891
1989,5,5.9274,1.7802,1.8018,0.1062,0.1845,0.0828
1989,6,5.9832,1.7082,1.8612,0.1206,0.1827,0.0774
1989,7,NA,NA,NA,NA,0.1809,NA
1989,8,NA,NA,NA,NA,NA,NA
1989,9,NA,NA,NA,NA,NA,NA
1989,10,0,NA,0,NA,NA,NA
1989,11,NA,NA,NA,NA,NA,NA
1990,0,NA,NA,NA,NA,NA,NA
1990,1,NA,NA,NA,NA,NA,NA
1990,2,2.7882,NA,0.5364,NA,NA,NA
1990,3,2.8953,1.3617,1.8297,NA,NA,NA
1990,4,0,0,1.7631,0.0954,0.1854,NA
1990,5,5.9265,1.7361,1.6506,0.1035,0.1332,0.0837
1990,6,NA,1.7811,1.8387,0.1188,0.1584,0.0918
1990,7,NA,NA,NA,NA,NA,NA
1990,8,NA,NA,NA,NA,NA,NA
1990,9,NA,NA,0,NA,NA,NA
1990,10,NA,NA,0,NA,NA,NA
1990,11,NA,NA,NA,NA,NA,NA
1991,0,NA,NA,NA,NA,NA,NA
1991,1,NA,NA,1.1898,NA,NA,NA
1991,2,5.2371,NA,1.566,NA,NA,NA
1991,3,5.985,0.8001,1.8306,NA,NA,NA
1991,4,5.985,0.0297,1.215,0.1206,0.2142,NA
1991,5,5.9697,1.7442,1.8405,0.1071,0.1719,0.0882
1991,6,5.9859,1.755,1.7775,0.1224,0.198,NA
1991,7,NA,NA,NA,NA,0.1971,NA
1991,8,NA,NA,NA,NA,NA,NA
1991,9,NA,NA,0,NA,NA,NA
1991,10,0,NA,0,NA,NA,NA
1991,11,NA,NA,NA,NA,NA,NA
1992,0,NA,NA,NA,NA,NA,NA
1992,1,NA,NA,1.7919,NA,NA,NA
1992,2,5.9652,NA,1.4787,NA,NA,NA
1992,3,5.904,1.791,1.7784,NA,NA,0.0828
1992,4,5.9445,1.7784,1.7793,0.1071,0.2034,0.0873
1992,5,5.9913,1.7298,1.7118,0.1242,0.1962,0.0918
1992,6,5.9256,1.7739,0,0.1152,0.189,0.0882
1992,7,NA,NA,NA,NA,0.1854,NA
1992,8,NA,NA,NA,NA,NA,NA
1992,9,NA,NA,0,NA,NA,NA
1992,10,0,NA,0,NA,NA,NA
1992,11,NA,NA,NA,NA,NA,NA
1993,0,NA,NA,NA,NA,NA,NA
1993,1,NA,NA,0.6039,NA,NA,NA
1993,2,5.7276,NA,1.7901,NA,NA,NA
1993,3,0.3105,NA,9e-04,NA,NA,NA
1993,4,5.9751,1.7892,0,NA,NA,0.0945
1993,5,5.9715,1.7793,1.7766,0.1107,NA,0.09
1993,6,5.9769,0,1.8594,0.1224,0.2097,0
1993,7,NA,NA,NA,NA,0.1989,NA
1993,8,NA,NA,NA,NA,NA,NA
1993,9,NA,NA,0,NA,NA,NA
1993,10,0,NA,0,NA,NA,NA
1993,11,NA,NA,NA,NA,NA,NA
1994,0,NA,NA,NA,NA,NA,NA
1994,1,NA,NA,1.7964,NA,NA,NA
1994,2,6.0219,NA,1.8045,NA,NA,NA
1994,3,5.967,1.7712,0.0126,NA,NA,0.0765
1994,4,5.8689,1.7442,1.2789,0.1143,0.2097,0.0801
1994,5,6.0237,1.7685,1.8009,0.1161,0.1854,0.0864
1994,6,6.0021,1.7658,1.8315,NA,0.1746,0.0864
1994,7,NA,NA,NA,NA,NA,NA
1994,8,NA,NA,NA,NA,NA,NA
1994,9,NA,NA,0,NA,NA,NA
1994,10,0,NA,0,NA,NA,NA
1994,11,NA,NA,NA,NA,NA,NA
1995,0,NA,NA,NA,NA,NA,NA
1995,1,NA,NA,1.7172,NA,NA,NA
1995,2,5.9409,NA,1.8549,NA,NA,NA
1995,3,5.9715,NA,1.6632,NA,NA,NA
1995,4,5.9904,NA,1.7919,0.1089,NA,NA
1995,5,5.949,1.7262,1.7271,0.1125,0.0918,0.0891
1995,6,5.9859,1.7406,1.8702,0,0.0072,0
1995,7,NA,NA,NA,NA,0.099,NA
1995,8,NA,NA,NA,NA,NA,NA
1995,9,NA,NA,0,NA,NA,NA
1995,10,NA,NA,0,NA,NA,NA
1995,11,NA,NA,NA,NA,NA,NA
1996,0,NA,NA,NA,NA,NA,NA
1996,1,NA,NA,0.6444,NA,NA,NA
1996,2,NA,NA,1.7982,NA,NA,NA
1996,3,5.9238,1.6128,1.7712,NA,NA,NA
1996,4,5.9436,1.7613,1.8288,0.1062,NA,0.0873
1996,5,5.9445,1.7451,1.7568,0.108,0.2034,0.0837
1996,6,0,1.7532,NA,0.0819,0.1872,0.0819
1996,7,NA,NA,NA,NA,NA,NA
1996,8,NA,NA,NA,NA,NA,NA
1996,9,NA,NA,NA,NA,NA,NA
1996,10,NA,NA,NA,NA,NA,NA
1996,11,NA,NA,NA,NA,NA,NA
1997,0,NA,NA,NA,NA,NA,NA
1997,1,NA,NA,NA,NA,NA,NA
1997,2,NA,NA,1.7919,NA,NA,NA
1997,3,3.3282,1.7802,1.8198,NA,NA,NA
1997,4,5.9202,1.7568,1.755,0.0747,0.1647,0.0747
1997,5,5.6754,1.7694,1.7802,0,0.1629,0.0882
1997,6,5.9409,1.6047,NA,0,0.18,0.0828
1997,7,NA,NA,NA,NA,NA,NA
1997,8,NA,NA,NA,NA,NA,NA
1997,9,NA,NA,NA,NA,NA,NA
1997,10,0,NA,NA,NA,NA,NA
1997,11,NA,NA,NA,NA,NA,NA
1998,0,NA,NA,NA,NA,NA,NA
1998,1,NA,NA,NA,NA,NA,NA
1998,2,6.0075,NA,1.8486,NA,NA,NA
1998,3,5.9859,NA,1.3113,NA,NA,NA
1998,4,5.9697,1.7478,1.8027,0.0666,NA,0.0891
1998,5,5.9994,1.7793,1.8009,0.0909,NA,0.09
1998,6,5.9265,1.7505,0.5067,0.1206,0.1539,0.081
1998,7,NA,NA,NA,NA,0.2106,NA
1998,8,NA,NA,NA,NA,NA,NA
1998,9,NA,NA,NA,NA,NA,NA
1998,10,0,NA,0,NA,NA,NA
1998,11,NA,NA,NA,NA,NA,NA
1999,0,NA,NA,NA,NA,NA,NA
1999,1,NA,NA,NA,NA,NA,NA
1999,2,5.9751,NA,1.7856,NA,NA,NA
1999,3,5.2353,1.7496,1.6821,NA,NA,NA
1999,4,6.0201,1.7955,1.7964,0.1197,0.2133,0.0945
1999,5,6.0084,1.7901,1.8198,0.1242,0.2115,0.0945
1999,6,6.0327,1.7964,1.8666,0.1107,0.1953,0.0936
1999,7,NA,NA,NA,NA,0.2106,NA
1999,8,NA,NA,NA,NA,NA,NA
1999,9,NA,NA,0,NA,NA,NA
1999,10,0,NA,0,NA,NA,NA
1999,11,NA,NA,NA,NA,NA,NA
2000,0,NA,NA,NA,NA,NA,NA
2000,1,NA,NA,1.7397,NA,NA,NA
2000,2,5.7798,NA,1.8675,NA,NA,NA
2000,3,6.03,1.7955,1.8342,NA,NA,0.0936
2000,4,6.0534,1.7874,1.836,0.0963,0.2106,0.0936
2000,5,6.0246,1.7928,1.8558,0.1134,0.2007,0.0855
2000,6,6.0102,1.8099,1.8378,NA,0.1917,0.0936
2000,7,NA,NA,NA,NA,NA,NA
2000,8,NA,NA,NA,NA,NA,NA
2000,9,NA,NA,0,NA,NA,NA
2000,10,0,NA,0,NA,NA,NA
2000,11,NA,NA,NA,NA,NA,NA
2001,0,NA,NA,NA,NA,NA,NA
2001,1,NA,NA,1.4859,NA,NA,NA
2001,2,6.039,NA,1.8468,NA,NA,NA
2001,3,5.9949,1.7847,1.8144,NA,0.1791,0.0909
2001,4,5.9706,1.7937,1.7811,0.1161,0.1998,0.0918
2001,5,6.0255,1.8009,1.8018,0.126,0.1917,0.0945
2001,6,6.0462,1.8009,1.8387,0.1152,0.1944,0.0927
2001,7,NA,NA,NA,NA,0.1917,NA
2001,8,NA,NA,NA,NA,NA,NA
2001,9,NA,NA,NA,NA,NA,NA
2001,10,0,NA,0,NA,NA,NA
2001,11,NA,NA,NA,NA,NA,NA
2002,0,NA,NA,NA,NA,NA,NA
2002,1,NA,NA,NA,NA,NA,NA
2002,2,6.03,NA,1.8324,NA,NA,NA
2002,3,5.9607,1.8099,1.8441,NA,NA,0.0936
2002,4,6.0057,1.7838,1.8288,0.1215,0.2142,0.0954
2002,5,6.0561,1.7865,1.7892,0.1215,0.2097,0.0954
2002,6,6.0336,0.864,1.8558,0.1134,0.1935,0.0846
2002,7,NA,NA,NA,NA,0.2061,NA
2002,8,NA,NA,NA,NA,NA,NA
2002,9,NA,NA,0,NA,NA,NA
2002,10,0,NA,0,NA,NA,NA
2002,11,NA,NA,NA,NA,NA,NA
2003,0,NA,NA,NA,NA,NA,NA
2003,1,NA,NA,0.4698,NA,NA,NA
2003,2,5.9841,NA,1.3275,NA,NA,NA
2003,3,5.9688,1.539,1.8216,NA,NA,NA
2003,4,6.0012,1.8018,1.8054,0.0648,0.2115,0.0954
2003,5,6.0102,1.7874,1.7694,0.1242,0.1638,0.0837
2003,6,5.9949,1.7847,1.7703,0.1152,0.1935,0.0936
2003,7,NA,NA,NA,NA,0.189,NA
2003,8,NA,NA,NA,NA,NA,NA
2003,9,NA,NA,0,NA,NA,NA
2003,10,0,NA,0,NA,NA,NA
2003,11,NA,NA,NA,NA,NA,NA
2004,0,NA,NA,NA,NA,NA,NA
2004,1,NA,NA,1.7946,NA,NA,NA
2004,2,5.9562,NA,0.6552,NA,NA,NA
2004,3,5.8545,1.7901,1.7604,NA,NA,NA
2004,4,6.0156,1.7892,1.8477,0.1053,0.2124,0.0945
2004,5,5.9607,1.7892,1.7622,0.1116,0.1935,0.0918
2004,6,6.0255,1.7892,1.8351,0.1017,0.18,0.009
2004,7,NA,NA,NA,NA,0.1899,NA
2004,8,NA,NA,NA,NA,NA,NA
2004,9,NA,NA,0,NA,NA,NA
2004,10,0,NA,0,NA,NA,NA
2004,11,NA,NA,NA,NA,NA,NA
2005,0,NA,NA,NA,NA,NA,NA
2005,1,NA,NA,1.7568,NA,NA,NA
2005,2,5.9976,NA,1.8351,NA,NA,NA
2005,3,5.9607,1.7883,0.6768,NA,NA,0.0558
2005,4,6.0021,1.791,1.4202,0.108,0.0999,0.0945
2005,5,6.012,1.7892,1.8279,0.1143,0.2115,0.0918
2005,6,6.0093,1.7397,1.7901,0.1188,0.2106,0.0927
2005,7,NA,NA,NA,NA,0.1962,NA
2005,8,NA,NA,NA,NA,NA,NA
2005,9,NA,NA,0,NA,NA,NA
2005,10,0,NA,0,NA,NA,NA
2005,11,NA,NA,NA,NA,NA,NA
2006,0,NA,NA,NA,NA,NA,NA
2006,1,NA,NA,1.7145,NA,NA,NA
2006,2,6.0399,NA,1.8387,NA,NA,NA
2006,3,5.9994,1.7748,1.8081,NA,NA,0.0936
2006,4,6.0093,1.7991,1.8126,0.1188,NA,0.0927
2006,5,6.0111,1.7838,1.7802,0.1179,0.189,0.0927
2006,6,5.9922,1.8027,1.8144,0.1224,0.1953,0.0936
2006,7,NA,NA,NA,NA,0.2115,NA
2006,8,NA,NA,NA,NA,NA,NA
2006,9,NA,NA,0,NA,NA,NA
2006,10,0,NA,0,NA,NA,NA
2006,11,NA,NA,NA,NA,0,NA
2007,0,NA,NA,NA,NA,NA,NA
2007,1,NA,NA,0.7497,NA,NA,NA
2007,2,6.0444,NA,1.4994,NA,NA,NA
2007,3,5.9841,1.7838,1.6074,NA,0.1278,0.0909
2007,4,5.9472,1.8009,1.8162,0.1179,0.1899,0.0945
2007,5,6.0318,1.7883,1.8009,0.1242,0.1998,0.0936
2007,6,6.0147,1.8027,1.8279,0.1098,0.1908,0.0927
2007,7,NA,NA,NA,NA,0.1494,NA
2007,8,NA,NA,NA,NA,NA,NA
2007,9,NA,NA,NA,NA,NA,NA
2007,10,0,NA,0,NA,NA,NA
2007,11,NA,NA,NA,NA,NA,NA
2008,0,NA,NA,NA,NA,NA,NA
2008,1,NA,NA,NA,NA,NA,NA
2008,2,5.8518,NA,1.818,NA,NA,NA
