date,maxTemp,minTemp,precip,snowfall
1984-01,43.2,16.7,0.55,6.4
1984-02,49.6,22.7,0.80,8.9
1984-03,52.0,26.9,2.66,19.2
1984-04,56.1,30.6,2.29,12.7
1984-05,76.2,44.5,0.45,0.0
1984-06,80.3,50.8,1.85,0.0
1984-07,89.1,57.9,1.67,0.0
1984-08,85.6,57.4,2.57,0.0
1984-09,77.0,45.9,1.01,4.2
1984-10,57.3,33.5,4.25,11.0
1984-11,55.1,26.7,0.01,0.0
1984-12,48.1,20.6,0.43,4.8
1985-01,40.2,14.5,0.99,16.3
1985-02,43.3,15.6,0.89,14.6
1985-03,55.6,27.5,1.43,20.4
1985-04,65.5,38.8,1.82,0.9
1985-05,74.4,44.8,1.37,0.0
1985-06,83.2,53.4,1.91,0.0
1985-07,86.0,58.4,1.99,0.0
1985-08,89.4,55.9,0.03,0.0
1985-09,73.8,45.5,2.86,11.0
1985-10,67.9,36.5,1.07,6.0
1985-11,44.3,20.7,1.95,22.8
1985-12,43.9,20.2,1.13,16.0
1986-01,57.1,28.9,0.09,2.0
1986-02,49.5,25.6,1.04,17.8
1986-03,62.2,35.3,0.61,3.0
1986-04,64.1,37.2,4.88,13.5
1986-05,71.2,42.6,2.62,0.0
1986-06,83.7,54.7,1.68,0.0
1986-07,86.3,56.9,1.94,0.0
1986-08,84.9,56.5,0.67,0.0
1986-09,72.6,46.3,1.15,0.0
1986-10,63.6,36.9,3.66,7.0
1986-11,53.9,28.5,2.37,20.3
1986-12,45.0,22.0,0.64,13.0
1987-01,45.6,22.9,1.17,21.4
1987-02,48.1,25.8,2.44,23.7
1987-03,52.9,26.9,2.42,23.0
1987-04,68.0,37.4,2.55,16.3
1987-05,71.7,46.2,2.12,0.0
1987-06,83.7,53.5,6.04,0.0
1987-07,88.6,56.8,1.26,0.0
1987-08,82.9,55.0,1.99,0.0
1987-09,77.1,46.2,1.13,0.0
1987-10,67.9,37.6,0.94,0.0
1987-11,53.0,29.0,1.79,13.5
1987-12,41.7,19.9,1.97,27.5
1988-01,40.9,16.9,0.40,6.5
1988-02,49.5,22.0,1.14,16.7
1988-03,54.2,27.5,2.53,24.9
1988-04,66.5,36.6,1.48,4.7
1988-05,73.5,45.0,3.70,1.0
1988-06,85.7,56.1,0.70,0.0
1988-07,88.4,57.1,0.71,0.0
1988-08,86.9,56.8,1.33,0.0
1988-09,77.3,47.2,2.02,0.0
1988-10,69.8,39.7,0.03,0.0
1988-11,54.2,29.0,0.75,5.7
1988-12,45.4,20.1,2.16,31.5
1989-01,49.5,23.4,1.19,14.2
1989-02,35.3,12.8,1.27,14.8
1989-03,60.1,29.7,0.97,10.5
1989-04,65.0,37.4,1.95,15.8
1989-05,74.0,44.4,2.68,0.0
1989-06,78.6,49.9,2.93,0.0
1989-07,89.5,56.9,1.43,0.0
1989-08,M,M,M,M
1989-09,M,M,M,M
1989-10,M,M,M,M
1989-11,M,M,M,M
1989-12,M,M,M,M
1990-01,M,M,M,M
1990-02,M,M,M,M
1990-03,M,M,M,M
1990-04,60.6,35.4,2.16,7.6
1990-05,68.9,40.4,1.73,0.1
1990-06,86.4,53.5,0.39,0.0
1990-07,81.6,55.6,4.23,0.0
1990-08,82.8,54.7,1.13,0.0
1990-09,77.9,51.5,1.84,0.0
1990-10,68.7,39.5,0.96,6.1
1990-11,57.8,32.5,1.60,17.1
1990-12,40.4,14.2,0.75,12.7
1991-01,42.3,17.5,1.05,17.0
1991-02,53.2,28.7,0.15,2.8
1991-03,55.1,30.4,0.43,2.0
1991-04,59.9,35.6,2.41,19.1
1991-05,71.6,44.8,2.90,0.4
1991-06,79.9,53.2,3.59,0.0
1991-07,84.0,57.0,3.11,0.0
1991-08,82.4,56.0,2.08,0.0
1991-09,75.7,47.6,1.21,0.0
1991-10,66.6,37.9,0.93,13.6
1991-11,47.8,26.3,3.30,28.9
1991-12,46.9,23.7,0.01,0.2
1992-01,48.2,22.9,0.67,10.9
1992-02,52.2,29.0,T,T
1992-03,54.8,31.8,5.17,19.7
1992-04,68.1,40.4,0.46,0.0
1992-05,73.0,45.1,1.70,0.0
1992-06,76.4,49.4,0.96,0.0
1992-07,83.0,53.6,1.13,0.0
1992-08,80.0,52.6,3.08,0.0
1992-09,79.4,49.4,0.02,0.0
1992-10,68.4,39.7,0.79,T
1992-11,45.7,22.7,2.56,44.7
1992-12,41.3,17.4,0.84,18.8
1993-01,39.0,17.6,0.25,5.8
1993-02,40.9,20.2,0.90,9.3
1993-03,54.9,30.7,2.15,11.9
1993-04,60.2,34.9,2.56,4.7
1993-05,70.5,44.5,1.73,T
1993-06,79.3,49.7,3.38,0.0
1993-07,84.3,54.6,1.40,0.0
1993-08,M,M,M,M
1993-09,73.6,43.9,3.32,1.4
1993-10,61.6,35.7,2.42,10.5
1993-11,48.1,23.1,2.17,27.0
1993-12,47.0,24.1,0.55,9.0
1994-01,48.8,23.6,0.86,11.5
1994-02,45.9,19.3,1.37,15.4
1994-03,57.5,30.1,1.61,14.9
1994-04,61.5,33.7,3.46,22.8
1994-05,77.0,44.6,1.35,0.0
1994-06,86.8,53.1,0.93,0.0
1994-07,86.3,56.0,0.35,0.0
1994-08,85.0,56.7,2.56,0.0
1994-09,79.7,50.2,0.54,0.4
1994-10,63.0,38.1,1.02,T
1994-11,47.6,25.5,2.25,23.7
1994-12,48.4,23.8,0.49,10.3
1995-01,46.9,22.1,0.64,12.0
1995-02,52.1,24.9,1.53,16.3
1995-03,55.2,29.0,1.21,16.4
1995-04,57.2,33.0,4.95,24.1
1995-05,62.4,39.4,9.59,0.8
1995-06,76.1,48.6,4.03,0.0
1995-07,86.0,55.0,0.72,0.0
1995-08,89.8,58.1,1.45,0.0
1995-09,73.7,47.1,2.96,8.6
1995-10,66.6,36.4,0.59,3.1
1995-11,57.8,32.0,1.51,17.8
1995-12,48.3,24.2,0.25,3.4
1996-01,43.0,16.6,2.19,24.4
1996-02,51.0,24.3,0.29,5.9
1996-03,51.1,24.8,2.16,17.7
1996-04,64.1,36.7,1.49,7.6
1996-05,73.4,44.3,4.63,0.0
1996-06,82.0,51.8,2.77,0.0
1996-07,85.4,57.5,1.96,0.0
1996-08,85.2,53.8,0.63,0.0
1996-09,75.4,46.1,3.48,6.1
1996-10,66.7,39.4,0.28,0.1
1996-11,53.7,27.5,1.43,16.6
1996-12,49.1,23.8,0.37,6.1
1997-01,43.6,18.9,0.87,19.0
1997-02,43.2,22.2,1.83,28.8
1997-03,60.7,30.3,0.91,14.1
1997-04,55.5,30.1,5.77,38.6
1997-05,71.5,43.3,2.19,T
1997-06,80.3,52.6,3.69,0.0
1997-07,86.0,56.8,1.14,0.0
1997-08,81.5,55.9,5.27,0.0
1997-09,76.8,51.2,1.92,0.0
1997-10,66.5,38.9,2.70,30.1
1997-11,49.6,26.2,1.52,18.2
1997-12,44.3,23.4,0.68,9.9
1998-01,48.6,24.4,1.07,10.4
1998-02,48.0,24.8,0.23,1.7
1998-03,52.1,25.2,3.41,42.9
1998-04,59.1,33.9,4.56,19.4
1998-05,74.2,43.4,1.82,0.0
1998-06,77.6,47.8,1.85,T
1998-07,86.6,58.9,4.02,0.0
1998-08,84.9,56.5,0.97,0.0
1998-09,82.3,51.8,0.66,0.0
1998-10,62.8,37.9,1.12,0.0
1998-11,55.2,32.8,1.53,9.5
1998-12,44.1,20.2,1.05,17.8
1999-01,48.5,23.9,0.65,9.7
1999-02,55.4,28.8,0.08,0.6
1999-03,60.3,31.7,1.09,6.6
1999-04,57.2,32.2,7.55,37.2
1999-05,69.9,41.3,1.84,T
1999-06,80.1,49.5,0.82,0.0
1999-07,88.0,58.7,2.54,0.0
1999-08,82.8,55.8,5.54,0.0
1999-09,73.1,43.8,2.62,1.6
1999-10,67.8,36.0,1.33,6.1
1999-11,64.2,32.3,0.81,10.5
1999-12,49.0,24.8,1.01,8.8
2000-01,48.1,25.0,0.14,4.0
2000-02,54.1,28.1,0.55,5.4
2000-03,56.2,29.7,2.56,26.6
2000-04,67.8,35.0,1.50,8.9
2000-05,76.2,46.1,1.60,0.0
2000-06,83.5,51.7,1.53,0.0
2000-07,89.9,58.9,2.09,0.0
2000-08,88.2,57.8,0.72,0.0
2000-09,78.8,47.3,2.51,6.5
2000-10,62.6,36.3,1.28,0.9
2000-11,43.4,19.3,0.89,10.9
2000-12,43.5,18.9,0.44,8.5
2001-01,44.2,21.7,0.73,10.3
2001-02,43.7,20.9,0.86,13.1
2001-03,52.5,29.1,2.01,16.6
2001-04,63.9,37.4,2.94,10.5
2001-05,72.2,44.6,3.62,6.5
2001-06,84.7,53.0,1.09,T
2001-07,89.9,60.1,1.76,0.0
2001-08,86.1,57.6,1.64,0.0
2001-09,80.5,49.5,1.77,T
2001-10,68.8,38.9,0.40,0.3
2001-11,57.2,30.5,1.02,7.3
2001-12,47.1,22.9,0.36,4.7
2002-01,45.1,21.1,1.07,18.5
2002-02,50.6,21.4,0.44,8.3
2002-03,53.1,22.3,1.50,22.6
2002-04,68.4,37.3,0.20,0.1
2002-05,71.2,41.2,3.20,1.6
2002-06,87.1,53.9,1.18,0.0
2002-07,93.4,60.2,0.09,0.0
2002-08,87.8,54.8,1.44,0.0
2002-09,77.6,50.5,1.52,0.0
2002-10,58.2,33.6,2.44,16.1
2002-11,52.6,28.0,0.78,13.0
2002-12,48.3,24.9,0.02,0.5
2003-01,53.9,26.5,0.09,0.5
2003-02,43.1,20.0,1.52,22.8
2003-03,56.4,30.9,5.44,34.7
2003-04,64.0,37.2,2.99,6.2
2003-05,71.6,43.1,2.62,5.2
2003-06,76.2,49.4,2.69,0.0
2003-07,92.4,59.3,0.71,0.0
2003-08,87.3,58.4,3.52,0.0
2003-09,75.6,45.4,0.35,0.0
2003-10,73.5,41.3,0.45,0.4
2003-11,49.8,28.1,0.80,7.5
2003-12,48.3,24.4,0.84,9.9
2004-01,47.3,23.5,0.82,12.0
2004-02,46.4,21.5,1.31,18.0
2004-03,62.8,33.5,1.09,7.9
2004-04,61.4,37.0,5.66,14.9
2004-05,74.2,45.7,1.28,T
2004-06,76.2,49.2,3.96,0.0
