"date","year","month","glacier_671159","glacier_671135","glacier_671117","glacier_711633","glacier_711631","glacier_711605","month_code","maxTemp","minTemp","precip","snowfall"
"1985-01",1985,"01",NA,NA,NA,NA,NA,NA,"Jan",40.2,14.5,0.99,16.3
"1985-02",1985,"02",NA,NA,NA,NA,NA,NA,"Feb",43.3,15.6,0.89,14.6
"1985-03",1985,"03",NA,NA,NA,NA,NA,NA,"Mar",55.6,27.5,1.43,20.4
"1985-04",1985,"04",NA,NA,NA,0.1782,0.099,0.4014,"Apr",65.5,38.8,1.82,0.9
"1985-05",1985,"05",0.1746,NA,0.0765,0,0,0.3825,"May",74.4,44.8,1.37,0
"1985-06",1985,"06",0.1755,NA,NA,0.2232,0.1548,0.4032,"Jun",83.2,53.4,1.91,0
"1985-07",1985,"07",0,NA,NA,0.2367,0.1548,0.4122,"Jul",86,58.4,1.99,0
"1985-08",1985,"08",NA,NA,NA,NA,NA,NA,"Aug",89.4,55.9,0.03,0
"1985-09",1985,"09",NA,NA,NA,NA,NA,NA,"Sep",73.8,45.5,2.86,11
"1985-10",1985,"10",NA,NA,NA,NA,NA,NA,"Oct",67.9,36.5,1.07,6
"1985-11",1985,"11",NA,NA,NA,NA,NA,NA,"Nov",44.3,20.7,1.95,22.8
"1985-12",1985,"12",NA,NA,NA,NA,NA,NA,"Dec",43.9,20.2,1.13,16
"1986-01",1986,"01",NA,NA,NA,NA,NA,NA,"Jan",57.1,28.9,0.09,2
"1986-02",1986,"02",NA,NA,NA,NA,NA,NA,"Feb",49.5,25.6,1.04,17.8
"1986-03",1986,"03",NA,NA,NA,NA,NA,NA,"Mar",62.2,35.3,0.61,3
"1986-04",1986,"04",0.171,NA,NA,NA,NA,NA,"Apr",64.1,37.2,4.88,13.5
"1986-05",1986,"05",0.1899,0.1521,0.1188,0.2052,0.1125,0.4113,"May",71.2,42.6,2.62,0
"1986-06",1986,"06",0.1422,0.1953,0.1044,0.2322,0.162,0.4059,"Jun",83.7,54.7,1.68,0
"1986-07",1986,"07",0,0,0,0.2277,0.1521,0.387,"Jul",86.3,56.9,1.94,0
"1986-08",1986,"08",NA,NA,NA,NA,NA,NA,"Aug",84.9,56.5,0.67,0
"1986-09",1986,"09",NA,NA,NA,NA,NA,NA,"Sep",72.6,46.3,1.15,0
"1986-10",1986,"10",NA,NA,NA,NA,NA,NA,"Oct",63.6,36.9,3.66,7
"1986-11",1986,"11",NA,NA,NA,NA,NA,NA,"Nov",53.9,28.5,2.37,20.3
"1986-12",1986,"12",NA,NA,NA,NA,NA,NA,"Dec",45,22,0.64,13
"1987-01",1987,"01",NA,NA,NA,NA,NA,NA,"Jan",45.6,22.9,1.17,21.4
"1987-02",1987,"02",NA,NA,NA,NA,NA,NA,"Feb",48.1,25.8,2.44,23.7
"1987-03",1987,"03",NA,NA,NA,NA,NA,NA,"Mar",52.9,26.9,2.42,23
"1987-04",1987,"04",0.1926,NA,NA,0.1809,0.0999,0.378,"Apr",68,37.4,2.55,16.3
"1987-05",1987,"05",0.0981,NA,NA,0,0,0,"May",71.7,46.2,2.12,0
"1987-06",1987,"06",0.1854,NA,0.0261,0.198,0.1485,0.0315,"Jun",83.7,53.5,6.04,0
"1987-07",1987,"07",0.1962,0.189,0.0999,0.2385,0.1602,0.3789,"Jul",88.6,56.8,1.26,0
"1987-08",1987,"08",NA,NA,NA,NA,NA,NA,"Aug",82.9,55,1.99,0
"1987-09",1987,"09",NA,NA,NA,NA,NA,NA,"Sep",77.1,46.2,1.13,0
"1987-10",1987,"10",NA,NA,NA,NA,NA,NA,"Oct",67.9,37.6,0.94,0
"1987-11",1987,"11",NA,NA,NA,NA,NA,NA,"Nov",53,29,1.79,13.5
"1987-12",1987,"12",NA,NA,NA,NA,NA,NA,"Dec",41.7,19.9,1.97,27.5
"1988-01",1988,"01",NA,NA,NA,NA,NA,NA,"Jan",40.9,16.9,0.4,6.5
"1988-02",1988,"02",NA,NA,NA,NA,NA,NA,"Feb",49.5,22,1.14,16.7
"1988-03",1988,"03",NA,NA,NA,NA,NA,NA,"Mar",54.2,27.5,2.53,24.9
"1988-04",1988,"04",0.1872,NA,NA,0.1791,0.1008,0.3969,"Apr",66.5,36.6,1.48,4.7
"1988-05",1988,"05",0.1746,0.1593,0.1044,0.2232,0.1575,0.4032,"May",73.5,45,3.7,1
"1988-06",1988,"06",0.1872,0.1953,0.1143,0.225,0.1584,0.3942,"Jun",85.7,56.1,0.7,0
"1988-07",1988,"07",0.1773,0.1962,0.1044,0.2295,0.1566,0.4257,"Jul",88.4,57.1,0.71,0
"1988-08",1988,"08",NA,NA,NA,NA,NA,NA,"Aug",86.9,56.8,1.33,0
