RDate,glacier_712529
1/1/1985,NA
2/1/1985,NA
3/1/1985,5.9553
4/1/1985,5.9445
5/1/1985,5.9346
6/1/1985,5.9679
7/1/1985,NA
8/1/1985,NA
9/1/1985,NA
10/1/1985,NA
11/1/1985,NA
12/1/1985,NA
1/1/1986,NA
2/1/1986,NA
3/1/1986,5.9112
4/1/1986,5.9931
5/1/1986,5.9697
6/1/1986,5.6349
7/1/1986,4.4154
8/1/1986,NA
9/1/1986,NA
10/1/1986,NA
11/1/1986,0
12/1/1986,NA
1/1/1987,NA
2/1/1987,NA
3/1/1987,5.9868
4/1/1987,3.5649
5/1/1987,5.8509
6/1/1987,5.8959
7/1/1987,5.9391
8/1/1987,NA
9/1/1987,NA
10/1/1987,NA
11/1/1987,0
12/1/1987,NA
1/1/1988,NA
2/1/1988,NA
3/1/1988,5.9058
4/1/1988,5.9193
5/1/1988,5.9463
6/1/1988,5.9796
7/1/1988,6.0012
8/1/1988,NA
9/1/1988,NA
10/1/1988,NA
11/1/1988,0
12/1/1988,NA
1/1/1989,NA
2/1/1989,NA
3/1/1989,5.9607
4/1/1989,5.4369
5/1/1989,5.9931
6/1/1989,5.9274
7/1/1989,5.9832
8/1/1989,NA
9/1/1989,NA
10/1/1989,NA
11/1/1989,0
12/1/1989,NA
1/1/1990,NA
2/1/1990,NA
3/1/1990,2.7882
4/1/1990,2.8953
5/1/1990,0
6/1/1990,5.9265
7/1/1990,NA
8/1/1990,NA
9/1/1990,NA
10/1/1990,NA
11/1/1990,NA
12/1/1990,NA
1/1/1991,NA
2/1/1991,NA
3/1/1991,5.2371
4/1/1991,5.985
5/1/1991,5.985
6/1/1991,5.9697
7/1/1991,5.9859
8/1/1991,NA
9/1/1991,NA
10/1/1991,NA
11/1/1991,0
12/1/1991,NA
1/1/1992,NA
2/1/1992,NA
3/1/1992,5.9652
4/1/1992,5.904
5/1/1992,5.9445
6/1/1992,5.9913
7/1/1992,5.9256
8/1/1992,NA
9/1/1992,NA
10/1/1992,NA
11/1/1992,0
12/1/1992,NA
1/1/1993,NA
2/1/1993,NA
3/1/1993,5.7276
4/1/1993,0.3105
5/1/1993,5.9751
6/1/1993,5.9715
7/1/1993,5.9769
8/1/1993,NA
9/1/1993,NA
10/1/1993,NA
11/1/1993,0
12/1/1993,NA
1/1/1994,NA
2/1/1994,NA
3/1/1994,6.0219
4/1/1994,5.967
5/1/1994,5.8689
6/1/1994,6.0237
7/1/1994,6.0021
8/1/1994,NA
9/1/1994,NA
10/1/1994,NA
11/1/1994,0
12/1/1994,NA
1/1/1995,NA
2/1/1995,NA
3/1/1995,5.9409
4/1/1995,5.9715
5/1/1995,5.9904
6/1/1995,5.949
7/1/1995,5.9859
8/1/1995,NA
9/1/1995,NA
10/1/1995,NA
11/1/1995,NA
12/1/1995,NA
1/1/1996,NA
