"date","year","month","lake_672425","lake_641807","lake_719135","lake_672424","month_code","maxTemp","minTemp","precip","snowfall"
"1985-01",1985,"01",NA,NA,0,NA,"Jan",40.2,14.5,0.99,16.3
"1985-02",1985,"02",NA,0.0648,NA,NA,"Feb",43.3,15.6,0.89,14.6
"1985-03",1985,"03",0.063,0,0,0.1494,"Mar",55.6,27.5,1.43,20.4
"1985-04",1985,"04",0,0,0.072,0,"Apr",65.5,38.8,1.82,0.9
"1985-05",1985,"05",0,0,0.0207,0.0099,"May",74.4,44.8,1.37,0
"1985-06",1985,"06",NA,0,NA,0.0027,"Jun",83.2,53.4,1.91,0
"1985-07",1985,"07",NA,0.0405,0.0306,0.0036,"Jul",86,58.4,1.99,0
"1985-08",1985,"08",NA,NA,0.4068,NA,"Aug",89.4,55.9,0.03,0
"1985-09",1985,"09",0,0,0,0,"Sep",73.8,45.5,2.86,11
"1985-10",1985,"10",NA,0,0,0,"Oct",67.9,36.5,1.07,6
"1985-11",1985,"11",NA,0,0,0,"Nov",44.3,20.7,1.95,22.8
"1985-12",1985,"12",NA,NA,0.3627,NA,"Dec",43.9,20.2,1.13,16
"1986-01",1986,"01",0.1062,2.88,0.4482,0.1746,"Jan",57.1,28.9,0.09,2
"1986-02",1986,"02",0.0846,0,0.4266,0.0378,"Feb",49.5,25.6,1.04,17.8
"1986-03",1986,"03",0.1197,2.25,0.3591,0.1872,"Mar",62.2,35.3,0.61,3
"1986-04",1986,"04",0.0594,0.0882,0.3699,0.171,"Apr",64.1,37.2,4.88,13.5
"1986-05",1986,"05",0.054,0.4968,0.3537,0.1809,"May",71.2,42.6,2.62,0
"1986-06",1986,"06",NA,0,0.3294,0.1233,"Jun",83.7,54.7,1.68,0
"1986-07",1986,"07",NA,0,0.3375,0.0846,"Jul",86.3,56.9,1.94,0
"1986-08",1986,"08",NA,NA,NA,0.2025,"Aug",84.9,56.5,0.67,0
"1986-09",1986,"09",NA,NA,NA,0,"Sep",72.6,46.3,1.15,0
"1986-10",1986,"10",NA,0,0,0,"Oct",63.6,36.9,3.66,7
"1986-11",1986,"11",NA,0,0,0,"Nov",53.9,28.5,2.37,20.3
"1986-12",1986,"12",NA,NA,NA,0.0846,"Dec",45,22,0.64,13
"1987-01",1987,"01",NA,NA,NA,0,"Jan",45.6,22.9,1.17,21.4
"1987-02",1987,"02",0.0729,2.9781,0.45,0.1314,"Feb",48.1,25.8,2.44,23.7
"1987-03",1987,"03",0.0693,0.7938,0.4518,0.1062,"Mar",52.9,26.9,2.42,23
"1987-04",1987,"04",0.054,0.3078,0.4761,0.1251,"Apr",68,37.4,2.55,16.3
"1987-05",1987,"05",0,0,0.4599,0,"May",71.7,46.2,2.12,0
"1987-06",1987,"06",0.0495,0,0.4122,0,"Jun",83.7,53.5,6.04,0
"1987-07",1987,"07",0.0594,0,0.3978,0.1026,"Jul",88.6,56.8,1.26,0
"1987-08",1987,"08",NA,NA,NA,NA,"Aug",82.9,55,1.99,0
"1987-09",1987,"09",0,NA,NA,0,"Sep",77.1,46.2,1.13,0
"1987-10",1987,"10",0,0,0,0,"Oct",67.9,37.6,0.94,0
"1987-11",1987,"11",0,0,0,0,"Nov",53,29,1.79,13.5
"1987-12",1987,"12",NA,NA,NA,NA,"Dec",41.7,19.9,1.97,27.5
"1988-01",1988,"01",0.0702,NA,NA,0.162,"Jan",40.9,16.9,0.4,6.5
"1988-02",1988,"02",0.0612,0.1044,0.4329,0.081,"Feb",49.5,22,1.14,16.7
"1988-03",1988,"03",0.0495,0,0.4059,0.1656,"Mar",54.2,27.5,2.53,24.9
"1988-04",1988,"04",0.0513,0,0.3213,0.0612,"Apr",66.5,36.6,1.48,4.7
"1988-05",1988,"05",0.0603,0,0.3177,0.1566,"May",73.5,45,3.7,1
"1988-06",1988,"06",0,0.1782,0.2493,0.117,"Jun",85.7,56.1,0.7,0
"1988-07",1988,"07",0.0513,0.0045,0.18,0.0756,"Jul",88.4,57.1,0.71,0
"1988-08",1988,"08",NA,NA,NA,NA,"Aug",86.9,56.8,1.33,0
"1988-09",1988,"09",NA,NA,0,NA,"Sep",77.3,47.2,2.02,0
