"year","month","lake_712529","lake_677013","lake_676761","lake_671117","lake_733649","lake_711481","lake_800698","month_code"
1985,0,NA,NA,NA,0,NA,0.0396,3.1599,"Jan"
1985,1,432.7344,39.0321,8.649,0,0.0765,0.0216,2.7045,"Feb"
1985,2,440.3484,50.9607,8.4024,0.0405,0,0,4.0041,"Mar"
1985,3,89.1,59.2488,8.3952,0,0.0045,0,4.1265,"Apr"
1985,4,126.8028,58.9122,0.5112,0,0.0657,0,4.9815,"May"
1985,5,576.0837,58.3137,8.0892,0,0.0621,0,3.9978,"Jun"
1985,6,354.7404,58.059,0.8064,0.0837,0.0621,0,5.0409,"Jul"
1985,7,NA,NA,NA,0.0738,NA,NA,NA,"Aug"
1985,8,0,0,0,0.0918,NA,0,0,"Sep"
1985,9,0,0,0,0,NA,0,0,"Oct"
1985,10,0,0,0,0,0,0,0,"Nov"
1985,11,NA,NA,NA,0.0927,NA,NA,NA,"Dec"
1986,0,378.0216,59.2884,8.0676,0.0954,NA,0,2.4624,"Jan"
1986,1,458.9244,52.6338,7.5042,0,NA,0,4.1112,"Feb"
1986,2,492.6528,60.8724,5.2101,0,0.0882,0.0954,4.2759,"Mar"
1986,3,199.1898,61.2504,8.37,0,0.0567,0,1.4508,"Apr"
1986,4,572.4117,50.6061,8.1477,0,0.0036,0,0.6984,"May"
1986,5,526.4739,60.9876,8.3979,0.0711,0.081,0,4.8222,"Jun"
1986,6,150.0426,59.9301,3.2157,0.0711,0,0,0.8793,"Jul"
1986,7,NA,60.3891,NA,0.0837,NA,1.5246,NA,"Aug"
1986,8,0,0,NA,0,NA,0,0,"Sep"
1986,9,0,0,0,0,0,0,0,"Oct"
1986,10,0,0,0,0,0,0,0,"Nov"
1986,11,NA,51.9885,NA,0.0954,NA,0.0945,NA,"Dec"
1987,0,443.8485,50.8743,NA,0.0963,NA,0,4.3884,"Jan"
1987,1,363.8412,53.1531,8.4519,0.0738,0.0792,0,2.1195,"Feb"
1987,2,577.0827,55.9728,8.6058,0.0765,0.0774,0,3.5775,"Mar"
1987,3,572.8131,61.2855,8.6418,0.0306,0.0666,0,4.9959,"Apr"
1987,4,574.1856,58.9122,6.7149,0.0333,0.0144,0,5.0184,"May"
1987,5,555.2604,59.4891,8.613,0.036,0.0657,0,5.0337,"Jun"
1987,6,355.2642,59.931,7.776,0,0.0828,0.0423,4.5486,"Jul"
1987,7,NA,NA,NA,0.0846,NA,0.0027,NA,"Aug"
1987,8,0,0,0,0.0882,NA,0,0,"Sep"
1987,9,0,0,0,0,NA,0,0,"Oct"
1987,10,0,0,0,0,NA,0,0,"Nov"
1987,11,NA,NA,NA,0.0801,NA,0.0081,NA,"Dec"
1988,0,405.7461,48.7692,3.9168,0.0855,NA,0,4.0059,"Jan"
1988,1,546.5142,58.7358,4.7781,0.0729,NA,0,4.0968,"Feb"
1988,2,565.5699,59.3991,8.0739,0.0648,NA,0,1.1394,"Mar"
1988,3,483.7698,59.0724,7.362,0.0612,0.0657,0,4.617,"Apr"
1988,4,577.1232,58.1607,8.0253,0.0639,0,0,4.9743,"May"
1988,5,524.7648,57.3354,7.02,0.0729,0.0756,0,2.3688,"Jun"
1988,6,468.8523,56.1915,7.7238,0.0693,NA,0.0045,4.9842,"Jul"
1988,7,NA,56.0655,NA,0.0891,NA,0,NA,"Aug"
1988,8,0,0,NA,0.0819,NA,0,0,"Sep"
1988,9,0,0,0,0,NA,0,0,"Oct"
1988,10,0,0,0,0,NA,0,0,"Nov"
1988,11,NA,31.6098,NA,0,NA,0,NA,"Dec"
1989,0,411.1281,0.4176,NA,0.1035,NA,0,2.1744,"Jan"
1989,1,188.9478,54.0729,3.2976,0.0801,NA,0,0.027,"Feb"
1989,2,133.3188,55.1475,6.4872,0.0711,NA,0,0.603,"Mar"
1989,3,518.0337,55.3248,6.5403,0,NA,0.0018,3.2085,"Apr"
1989,4,561.1968,43.1091,3.2616,0,0.0027,0,4.2975,"May"
1989,5,463.7736,53.2548,7.5366,0.0261,0.0081,0,3.1131,"Jun"
1989,6,566.5851,51.1182,7.452,NA,0.0729,0,NA,"Jul"
1989,7,NA,NA,NA,NA,NA,NA,NA,"Aug"
